Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/[url],360,1,4,40.165758319444144,2.1318749995771213,4102.846707999561,6537.375,6.133513179919148,0.01703753661088652,4,4,5,7,11,18,270,1100,4100,4100,4100
,Aggregated,360,1,4,40.165758319444144,2.1318749995771213,4102.846707999561,6537.375,6.133513179919148,0.01703753661088652,4,4,5,7,11,18,270,1100,4100,4100,4100
