Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/[url],255,7,7500,7522.498567843131,422.06439999972645,27857.296300000144,33543.86666666667,4.317852752745,0.11852929125182353,7500,8900,10000,12000,17000,18000,19000,24000,28000,28000,28000
,Aggregated,255,7,7500,7522.498567843131,422.06439999972645,27857.296300000144,33543.86666666667,4.317852752745,0.11852929125182353,7500,8900,10000,12000,17000,18000,19000,24000,28000,28000,28000
